#,restaurantName,region,district,neighborhood,address,phone,whatsapp,publicEmail,emailTrust,website,instagram,googleMapsUrl,googleRating,googleReviewCount,websiteStatus,websiteScore,leadScore,priority,problem1,problem2,problem3,websiteAnalysis,opportunities,salkayPitch,source,dateChecked,contactStatus,outreachNotes,importMode,recordSafety
55,Sapa İstanbul,ANADOLU,Ataşehir,Küçükbakkalköy,"Küçükbakkalköy Mah., Rüya Sk. No:12/18A, 34750 Ataşehir/İstanbul",+90 216 629 72 72,,info@sapaistanbul.com,OFFICIAL_VERIFIED,https://sapaistanbul.com,,https://www.google.com/maps/search/?api=1&query=Sapa+%C4%B0stanbul+Ata%C5%9Fehir+Istanbul,4.6,772,GOOD,7.8,4.0,QUALIFIED_OUT,Site güçlü; ilk redesign hedefi değil.,,,Site güçlü; ilk redesign hedefi değil.,İleri seviye SEO/ads optimizasyonu ikincil fırsat.,İlk outreach grubuna alma.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Official hours researched previously; multilingual/menu/reservation/blog present.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
56,Cunda Balık Restaurant,ANADOLU,Kadıköy,Bostancı,"Bostancı Mah., Köy Yolu Sk. No:6, 34744 Kadıköy/İstanbul",+90 216 380 59 89,,,NOT_VERIFIED,https://cundabalik.com.tr,,https://www.google.com/maps/search/?api=1&query=Cunda+Bal%C4%B1k+Restaurant+Kad%C4%B1k%C3%B6y+Istanbul,4.5,2388,WEAK,4.0,8.6,HIGH,Site eski görünüyor ve içerik/profesyonellik hataları var.,,,Site eski görünüyor ve içerik/profesyonellik hataları var.,Modernizasyon + Bostancı balık SEO + menü/rezervasyon CTA.,Aktif ve yüksek yorumlu işletmede eski siteyi somut satış açısı yap.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Do NOT use info@cundabalik.com: mismatched old third-party record.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
57,Mutabık Et Restaurant,ANADOLU,Ataşehir,Küçükbakkalköy,"Küçükbakkalköy Mah., Flora Residence, Kayışdağı Cd. No:3/1 E, 34750 Ataşehir/İstanbul",+90 216 314 15 15,,info@mutabik.com.tr,OFFICIAL_VERIFIED,https://mutabik.com.tr,,https://www.google.com/maps/search/?api=1&query=Mutab%C4%B1k+Et+Restaurant+Ata%C5%9Fehir+Istanbul,4.3,367,WEAK,4.3,8.6,HIGH,Site eski/tekrarlayan içerik ve tipografi/yazım sorunları içeriyor.,,,Site eski/tekrarlayan içerik ve tipografi/yazım sorunları içeriyor.,Premium redesign + et restoranı local SEO + rezervasyon.,Markanın fiziksel kalitesini daha premium dijital deneyime taşı.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Third-party also lists mutabikrestaurant@gmail.com; official-domain email preferred.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
58,Beylerbeyi Yakamoz Restaurant,ANADOLU,Üsküdar,Beylerbeyi,"Beylerbeyi Mah., Beylerbeyi Çamlıca Cd. No:16, Üsküdar/İstanbul",+90 216 321 46 39,,,NOT_VERIFIED,https://beylerbeyiyakamoz.com,,https://www.google.com/maps/search/?api=1&query=Beylerbeyi+Yakamoz+Restaurant+%C3%9Csk%C3%BCdar+Istanbul,,,VERY_WEAK,3.0,9.1,HIGH,Eski WordPress/blog içerikleri ve yönetici/demo izleri var.,Menüde boş/₺0 gibi güven zedeleyici değerler görüldü.,,Eski WordPress/blog içerikleri ve yönetici/demo izleri var.,Tam redesign + Beylerbeyi balık SEO + menü + rezervasyon.,Canlı sitedeki eski/demo içerikleri satışta somut örnek yap.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Third-party email info@beylerbeyiyakamoz.com conflicts with site's malformed email; do not auto-email. Current rating not trusted due stale structured record.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
59,Marmara Balık Lokantası,ANADOLU,Üsküdar,Ünalan,"Ünalan Mah., Çağla Sok. No:25, 34700 Üsküdar/İstanbul",+90 216 317 19 19,,,NOT_FOUND,,,https://www.google.com/maps/search/?api=1&query=Marmara+Bal%C4%B1k+Lokantas%C4%B1+%C3%9Csk%C3%BCdar+Istanbul,4.7,605,NO_WEBSITE,,9.4,HIGH,Bağımsız resmî web sitesi bulunmadı.,,,Bağımsız resmî web sitesi bulunmadı.,Yeni site + menü + Ünalan/Üsküdar local SEO + rezervasyon/telefon dönüşümü.,Yüksek puanlı işletmeye kendi domaini üzerinden görünürlük kazandır.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Do not confuse with similarly named Marmara Balık at another address.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
60,Hatay Gurme,ANADOLU,Ataşehir,Küçükbakkalköy,"Küçükbakkalköy Mah., Kayışdağı Cad., Metal İş Merkezi No:37/A-B, 34750 Ataşehir/İstanbul",+90 216 572 00 31,,info@hataygurme.com.tr,OFFICIAL_VERIFIED,https://hataygurme.com.tr,,https://www.google.com/maps/search/?api=1&query=Hatay+Gurme+Ata%C5%9Fehir+Istanbul,4.3,3962,IMPROVABLE,6.3,6.8,MEDIUM,Site güncel ve işlevsel; fırsat daha çok SEO/conversion tarafında.,,,Site güncel ve işlevsel; fırsat daha çok SEO/conversion tarafında.,Local SEO + içerik + landing page/ads dönüşümü.,"Tam redesign değil, ölçülebilir SEO ve dönüşüm iyileştirmesi.",Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,2026 legal/contact pages verified previously.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
61,Ayazbey Gurme Kasap & Izgara,ANADOLU,Üsküdar,Küçük Çamlıca,"Küçükçamlıca Mah., Üçpınarlar Cd., Atalay Sk. No:1-3A, 34696 Üsküdar/İstanbul",+90 216 545 46 36,,info@ayazbeygurme.com,OFFICIAL_VERIFIED,https://ayazbeygurme.com,,https://www.google.com/maps/search/?api=1&query=Ayazbey+Gurme+Kasap+%26+Izgara+%C3%9Csk%C3%BCdar+Istanbul,3.8,37,WEAK,4.1,8.7,HIGH,Menü metinlerinde çok sayıda yazım/adlandırma problemi var.,Site ile işletme saatleri arasında uyumsuzluk görüldü.,,Menü metinlerinde çok sayıda yazım/adlandırma problemi var.,İçerik temizliği + local SEO + menü UX + dönüşüm.,Küçük ama net teknik/içerik hatalarıyla hızlı iyileştirme teklifi.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Hours mismatch noted in final research.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
62,Rıhtım Restaurant,ANADOLU,Üsküdar,Beylerbeyi,"Beylerbeyi Mah., Çamlıca Caddesi No:4, 34676 Üsküdar/İstanbul",+90 216 318 61 04,,info@rihtimrestaurant.com,OFFICIAL_VERIFIED,https://rihtimrestaurant.com,,https://www.google.com/maps/search/?api=1&query=R%C4%B1ht%C4%B1m+Restaurant+%C3%9Csk%C3%BCdar+Istanbul,4.7,374,VERY_WEAK,3.2,9.0,HIGH,Site eski içerik ve 2017 döneminden kalan menü izleri taşıyor.,Password-protected/eskimiş içerik ve güncel olmayan footer yapısı var.,,Site eski içerik ve 2017 döneminden kalan menü izleri taşıyor.,Tam redesign + Beylerbeyi local SEO + güncel HTML menü + rezervasyon.,Eski site yapısını somut şekilde gösterip modernizasyon öner.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Hours mismatch between business record and official site.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
63,Chacha Balık Restaurant,ANADOLU,Üsküdar,Çengelköy,"Çengelköy Mah., Kuleli Cd. No:47, 34684 Üsküdar/İstanbul",+90 541 575 75 75,,info@chachabalik.com.tr,OFFICIAL_VERIFIED,https://chachabalik.com.tr,,https://www.google.com/maps/search/?api=1&query=Chacha+Bal%C4%B1k+Restaurant+%C3%9Csk%C3%BCdar+Istanbul,4.2,1152,VERY_WEAK,2.5,9.4,HIGH,WordPress default/demo sayfaları canlıda duruyor.,"Lorem ipsum, yabancı demo içerikleri ve alakasız marka metinleri mevcut.",Menü/kurumsal yapı güven zedeleyici şekilde karışık.,WordPress default/demo sayfaları canlıda duruyor.,Acil tam temizlik + premium redesign + Çengelköy balık SEO + rezervasyon.,En güçlü redesign leadlerinden; canlı demo kalıntılarını doğrudan göster.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Fixed phone: +90 216 321 03 62.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
64,Zekibey İskender,ANADOLU,Üsküdar,Mimar Sinan,"Mimar Sinan Mah., Tavukçu Bakkal Sk. No:1, 34200 Üsküdar/İstanbul",+90 216 310 48 21,,info@zekibeyiskender.com.tr,OFFICIAL_VERIFIED,https://zekibeyiskender.com.tr,,https://www.google.com/maps/search/?api=1&query=Zekibey+%C4%B0skender+%C3%9Csk%C3%BCdar+Istanbul,3.9,2105,IMPROVABLE,5.2,8.2,HIGH,İçerik yapısı temel; local SEO ve menü sunumu geliştirilebilir.,Üçüncü taraf kaynaklarda adres numarası tutarsız.,,İçerik yapısı temel; local SEO ve menü sunumu geliştirilebilir.,NAP standardizasyonu + menü SEO + yerel landing pages.,Tam sıfırlama yerine görünürlük ve dönüşüm geliştirmesi.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Official site + current business record use No:1; older sources show No:3/No:5.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
65,Mavera Cafe Restaurant,ANADOLU,Üsküdar,Kısıklı,"Kısıklı Mah., Kısıklı Büyük Çamlıca Cd. No:50, 34692 Üsküdar/İstanbul",+90 216 318 31 61,,info@maverarestaurant.com,OFFICIAL_VERIFIED,https://maverarestaurant.com,,https://www.google.com/maps/search/?api=1&query=Mavera+Cafe+Restaurant+%C3%9Csk%C3%BCdar+Istanbul,4.1,56,WEAK,4.4,8.7,HIGH,Ana sayfada 0 K / 0 / 0+ gibi bozuk istatistik blokları var.,Menü büyük ölçüde QR'a dayanıyor; SEO değeri düşük.,,Ana sayfada 0 K / 0 / 0+ gibi bozuk istatistik blokları var.,HTML menü + teknik temizlik + Kısıklı/Çamlıca local SEO.,Canlıdaki sıfır istatistikleri somut güven problemi olarak göster.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Old historical email info@maverarestaurant.net; do not use.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
66,Et Dünyası,ANADOLU,Üsküdar,Ahmediye,"Ahmediye Mah., Gündoğumu Cd. No:7, 34672 Üsküdar/İstanbul",+90 216 492 34 44,,,HISTORICAL,https://etdunyasi.net,,https://www.google.com/maps/search/?api=1&query=Et+D%C3%BCnyas%C4%B1+%C3%9Csk%C3%BCdar+Istanbul,4.5,422,VERY_WEAK,2.8,9.0,HIGH,Listelenen domainin güncel resmî site olarak güvenilirliği zayıf.,,,Listelenen domainin güncel resmî site olarak güvenilirliği zayıf.,Kendi güncel site + menü + Üsküdar local SEO.,Telefonla outreach; email önce yeniden doğrulansın.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Historical/unverified email: iletisim@etdunyasi.net. Do not use info@et-dunyasi.de (Berlin business).,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
67,Kudüs Han,ANADOLU,Üsküdar,Mimar Sinan,"Mimar Sinan Mah., Selamiali Efendi Cd. No:43A, 34672 Üsküdar/İstanbul",+90 555 192 52 08,,,NOT_FOUND,,@khanalquds,https://www.google.com/maps/search/?api=1&query=Kud%C3%BCs+Han+%C3%9Csk%C3%BCdar+Istanbul,4.6,1026,NO_WEBSITE,,9.3,HIGH,Bağımsız site yok; Instagram + üçüncü taraf QR menü ağırlıklı.,,,Bağımsız site yok; Instagram + üçüncü taraf QR menü ağırlıklı.,Markalı çok dilli site + menü + Orta Doğu mutfağı local SEO.,Güçlü yorum hacmini kendi domain ve arama trafiğine taşı.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Third-party digital menu exists; not an independent website.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
68,Suppa Restaurant Üsküdar,ANADOLU,Üsküdar,Mimar Sinan,"Mimar Sinan Mah., Balaban Cd., Eski Keresteciler Sk. No:6, 34672 Üsküdar/İstanbul",+90 543 377 76 34,,,HISTORICAL,,,https://www.google.com/maps/search/?api=1&query=Suppa+Restaurant+%C3%9Csk%C3%BCdar+%C3%9Csk%C3%BCdar+Istanbul,3.6,712,NO_WEBSITE,,9.1,HIGH,Güncel bağımsız web sitesi doğrulanmadı; eski domain/adres bilgileri karışık.,,,Güncel bağımsız web sitesi doğrulanmadı; eski domain/adres bilgileri karışık.,Yeni site + NAP temizliği + Üsküdar local SEO + menü.,Önce telefonla doğrula; geçmiş domain karmaşasını temizleme paketi öner.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Historical email rezarvasyon@suppa.com.tr and old suppa.com.tr tied to older/different address; do not auto-email.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
69,Rastgele Restaurant,ANADOLU,Üsküdar,Aziz Mahmut Hüdayi,"Aziz Mahmut Hüdayi Mah., Doğancılar Cd. No:76/B, 34672 Üsküdar/İstanbul",+90 532 171 76 41,,,NOT_FOUND,,,https://www.google.com/maps/search/?api=1&query=Rastgele+Restaurant+%C3%9Csk%C3%BCdar+Istanbul,4.8,313,NO_WEBSITE,,9.4,HIGH,Bağımsız resmî website doğrulanmadı.,,,Bağımsız resmî website doğrulanmadı.,Yeni site + menü + Üsküdar local SEO + WhatsApp/telefon CTA.,4.8 puanı kendi domainine ve organik trafiğe dönüştür.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Old directory phone: 0216 310 02 47. Do not confuse with another Rastgele Restaurant in Arnavutköy.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
70,Hatice Anne Ev Yemekleri,ANADOLU,Üsküdar,Kuzguncuk,"Kuzguncuk Mah., Kuzguncuk Çarşı Cd. No:4 D:1, 34674 Üsküdar/İstanbul",+90 534 672 29 52,,,NOT_FOUND,,@haticeannevyemekleri,https://www.google.com/maps/search/?api=1&query=Hatice+Anne+Ev+Yemekleri+%C3%9Csk%C3%BCdar+Istanbul,4.8,781,NO_WEBSITE,,9.5,HIGH,Bağımsız site yok.,Eski kaynaklarda adres numarası farklı görünüyor.,,Bağımsız site yok.,Kuzguncuk ev yemekleri SEO + günlük menü + WhatsApp + harita/NAP standardizasyonu.,Çok güçlü ilk temas adayı; yüksek puan + no-site.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Alternative older phone: 0216 553 77 35. Old address variants No:7/A and No:17/A.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
71,Emicenin Yeri,ANADOLU,Üsküdar,Selami Ali,"Selami Ali Mah., Şehit Asteğmen Halil Ögel Sk. No:7A, 34664 Üsküdar/İstanbul",+90 216 492 81 81,,,NOT_FOUND,,@emiceninyeri,https://www.google.com/maps/search/?api=1&query=Emicenin+Yeri+%C3%9Csk%C3%BCdar+Istanbul,4.4,414,NO_WEBSITE,,9.3,HIGH,Bağımsız website yok.,,,Bağımsız website yok.,Yeni site + menü + Üsküdar local SEO + WhatsApp/arama dönüşümü.,Yerel marka ve yorum gücünü kendi domainine taşı.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Older source showed No:72; current final address uses No:7A.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
72,Adile Sultan Ev Yemekleri – Altunizade Restoranı (Ekspres),ANADOLU,Üsküdar,Barbaros,"Barbaros Mah., Nuh Kuyusu Cd. No:70/B, Üsküdar/İstanbul",+90 216 474 18 50,,info@adilesultanevyemekleri.com,OFFICIAL_VERIFIED,https://adilesultanevyemekleri.com,,https://www.google.com/maps/search/?api=1&query=Adile+Sultan+Ev+Yemekleri+%E2%80%93+Altunizade+Restoran%C4%B1+%28Ekspres%29+%C3%9Csk%C3%BCdar+Istanbul,4.6,417,GOOD,8.1,3.2,QUALIFIED_OUT,Site güçlü ve çok şubeli altyapı mevcut.,,,Site güçlü ve çok şubeli altyapı mevcut.,İleri seviye teknik SEO ancak ikincil fırsat.,İlk outreach dışında tut.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Official branch order phone: +90 216 912 42 21. Official WhatsApp: +90 553 915 39 97. Generic order page contains placeholder-like contact values; still GOOD.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
73,Öz Bolu Lokantası,ANADOLU,Üsküdar,Mimar Sinan,"Mimar Sinan Mah., Atlas Sk. No:11, 34672 Üsküdar/İstanbul",+90 216 532 73 31,,,NOT_FOUND,https://ozbolu-lokantasi.com,,https://www.google.com/maps/search/?api=1&query=%C3%96z+Bolu+Lokantas%C4%B1+%C3%9Csk%C3%BCdar+Istanbul,4.1,2688,VERY_WEAK,2.4,9.2,HIGH,Domain işletmeyle ilişkili görünüyor ancak güncel resmî site içeriği güvenilir biçimde doğrulanamadı.,,,Domain işletmeyle ilişkili görünüyor ancak güncel resmî site içeriği güvenilir biçimde doğrulanamadı.,Yeni/yenilenmiş site + menü + Üsküdar local SEO.,Telefon outreach; domain erişimini ve sahipliğini ilk görüşmede doğrula.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,Do not use yeni@nerdeyiyelim.com; platform email. Some sources show 11/A.,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
74,TAVACI Cafe & Restaurant,ANADOLU,Üsküdar,Cumhuriyet,"Cumhuriyet Mah., Coşkun Sk. No:30/A, 34699 Üsküdar/İstanbul",+90 216 520 08 46,,,NOT_FOUND,,,https://www.google.com/maps/search/?api=1&query=TAVACI+Cafe+%26+Restaurant+%C3%9Csk%C3%BCdar+Istanbul,4.8,142,NO_WEBSITE,,9.2,HIGH,Bağımsız resmî website bulunmadı.,,,Bağımsız resmî website bulunmadı.,Yeni site + menü + Cumhuriyet/Üsküdar local SEO.,Telefon/Instagram üzerinden ilk temas; yüksek puan + no-site.,Prior final research; official website and/or current public business records where noted,2026-09-07,NOT_CONTACTED,,DRY_RUN_ONLY,FINAL_RESEARCH_SAFE
